Mon Sep 26 15:14:39 2016,2855,-11142,1272,17306,3666,12372,-135
Mon Sep 26 15:14:39 2016,2864,-12862,12502,27418,3308,11490,-153
Mon Sep 26 15:14:39 2016,2873,-32768,20962,12424,-2559,8804,-1340
Mon Sep 26 15:14:39 2016,2882,-9106,-16520,16056,-2922,1447,-874
Mon Sep 26 15:14:39 2016,2892,-1228,-1430,7008,-1060,952,-857
Mon Sep 26 15:14:39 2016,2901,-8824,4738,6706,-1388,1142,-518
Mon Sep 26 15:14:39 2016,2910,-4706,-812,10198,-1430,852,-752
Mon Sep 26 15:14:39 2016,2919,-4902,3878,5884,-1224,448,-789
Mon Sep 26 15:14:39 2016,2929,-4756,794,8074,-1273,-145,-649
Mon Sep 26 15:14:39 2016,2938,-4380,632,8156,-971,-110,-628
Mon Sep 26 15:14:39 2016,2947,-3210,24,6796,-745,-70,-452
Mon Sep 26 15:14:39 2016,2956,-3060,-68,7594,-441,142,-308
Mon Sep 26 15:14:39 2016,2966,-3982,42,7496,-260,323,-212
Mon Sep 26 15:14:39 2016,2975,-3556,-180,7134,-71,327,-18
Mon Sep 26 15:14:39 2016,2984,-3064,138,7470,61,438,54
Mon Sep 26 15:14:39 2016,2994,-2294,420,7090,179,667,134
Mon Sep 26 15:14:39 2016,3026,-4306,376,8918,577,1174,356
Mon Sep 26 15:14:39 2016,3035,-3596,1628,5218,209,683,208
Mon Sep 26 15:14:39 2016,3044,-3684,946,6642,282,733,160
Mon Sep 26 15:14:39 2016,3054,-3838,1118,7092,264,802,56
Mon Sep 26 15:14:39 2016,3063,-3454,1000,7302,155,720,-113
Mon Sep 26 15:14:39 2016,3072,-3618,1004,7166,169,886,-232
Mon Sep 26 15:14:39 2016,3081,-3976,584,7200,174,1021,-276
Mon Sep 26 15:14:39 2016,3091,-4126,588,7002,165,1000,-241
Mon Sep 26 15:14:39 2016,3100,-3954,440,7056,169,1031,-164
Mon Sep 26 15:14:39 2016,3109,-4302,512,7128,252,1099,-127
Mon Sep 26 15:14:39 2016,3118,-4456,896,7108,416,1245,-108
Mon Sep 26 15:14:39 2016,3128,-4262,892,6788,355,1230,-178
Mon Sep 26 15:14:39 2016,3137,-3578,74,6436,352,1261,-103
Mon Sep 26 15:14:39 2016,3146,-3688,958,7094,377,1399,-255
Mon Sep 26 15:14:39 2016,3155,-4394,-766,2194,181,2031,-484
Mon Sep 26 15:14:39 2016,3187,-3976,444,7042,282,1857,-389
Mon Sep 26 15:14:39 2016,3197,-4392,270,5692,240,1497,-227
Mon Sep 26 15:14:39 2016,3206,-4112,510,6984,327,1546,-97
Mon Sep 26 15:14:39 2016,3215,-4300,758,7002,337,1686,-42
Mon Sep 26 15:14:39 2016,3224,-4622,690,6226,325,1791,-24
Mon Sep 26 15:14:39 2016,3234,-4674,928,6552,254,1679,-52
Mon Sep 26 15:14:39 2016,3243,-4460,686,7028,307,1807,13
Mon Sep 26 15:14:39 2016,3252,-5786,1120,5230,180,2276,117
Mon Sep 26 15:14:39 2016,3261,-5854,494,6008,233,1861,57
Mon Sep 26 15:14:39 2016,3270,-4502,958,6280,87,1659,-36
Mon Sep 26 15:14:39 2016,3280,-4784,882,6346,52,1788,-94
Mon Sep 26 15:14:39 2016,3289,-5486,1098,5764,131,1719,-57
Mon Sep 26 15:14:39 2016,3298,-5062,1120,5506,83,1227,-313
Mon Sep 26 15:14:39 2016,3307,-4440,996,6716,220,2257,-245
Mon Sep 26 15:14:39 2016,3317,-6188,1188,5366,571,2946,-476
Mon Sep 26 15:14:39 2016,3349,-4628,418,7514,196,3203,-268
Mon Sep 26 15:14:39 2016,3358,-4272,348,7856,431,4074,-126
Mon Sep 26 15:14:39 2016,3367,-5132,702,6856,195,4749,0
Mon Sep 26 15:14:39 2016,3377,-6982,1262,6320,148,5273,21
Mon Sep 26 15:14:39 2016,3386,-6660,1154,6120,103,6000,-219
Mon Sep 26 15:14:39 2016,3395,-4804,518,7902,289,6586,-450
Mon Sep 26 15:14:39 2016,3404,-5692,1718,7832,669,7650,-723
Mon Sep 26 15:14:39 2016,3414,-4870,324,6032,475,8281,-957
Mon Sep 26 15:14:39 2016,3423,-6718,1376,7728,55,9270,-895
Mon Sep 26 15:14:39 2016,3432,-4034,-326,8702,140,11067,-736
Mon Sep 26 15:14:39 2016,3441,-8948,2044,8518,476,12407,-494
Mon Sep 26 15:14:39 2016,3451,-3146,1400,5166,771,15296,-847
Mon Sep 26 15:14:39 2016,3460,-9072,798,6144,3188,16955,172
Mon Sep 26 15:14:39 2016,3469,-14290,1746,7808,5038,16540,1110
Mon Sep 26 15:14:39 2016,3478,-14848,1288,9802,6845,15820,1460
Mon Sep 26 15:14:39 2016,3511,-18566,4030,15466,9136,14973,1672
Mon Sep 26 15:14:39 2016,3520,-17280,2282,10612,10291,12988,891
Mon Sep 26 15:14:39 2016,3529,-16670,5438,14408,9564,10222,694
Mon Sep 26 15:14:39 2016,3538,-10284,13664,12014,8798,7216,-271
Mon Sep 26 15:14:39 2016,3548,-3194,16138,31324,7978,3072,-1788
Mon Sep 26 15:14:39 2016,3557,-15932,16718,32382,1963,-547,-3107
Mon Sep 26 15:14:39 2016,3566,-5108,10160,24946,121,-3453,-2798
Mon Sep 26 15:14:39 2016,3575,2508,5566,13722,-1678,-6588,-2495
Mon Sep 26 15:14:39 2016,3584,3028,5056,10832,-2159,-6834,-2408
Mon Sep 26 15:14:39 2016,3594,312,3334,8108,-1486,-6961,-2400
Mon Sep 26 15:14:39 2016,3603,382,3448,7992,-1140,-7229,-2138
Mon Sep 26 15:14:39 2016,3612,-984,4140,8380,-1145,-7957,-1835
Mon Sep 26 15:14:39 2016,3621,-2158,4462,7964,-1327,-8433,-1754
Mon Sep 26 15:14:39 2016,3631,-3140,4394,7424,-1751,-8987,-1698
Mon Sep 26 15:14:39 2016,3640,-3516,3896,7150,-1979,-9374,-1641
Mon Sep 26 15:14:39 2016,3672,-3440,3634,6058,-1988,-9744,-1454
Mon Sep 26 15:14:39 2016,3681,-3860,3948,6396,-1784,-10016,-1354
Mon Sep 26 15:14:39 2016,3690,-3636,3010,5904,-943,-9668,-1149
Mon Sep 26 15:14:39 2016,3700,-3996,2464,4238,-356,-9602,-815
Mon Sep 26 15:14:39 2016,3709,-5524,3340,6236,674,-9418,-256
Mon Sep 26 15:14:39 2016,3718,-7102,4040,7062,1152,-9503,269
Mon Sep 26 15:14:39 2016,3727,-7568,4610,7632,1405,-9844,1101
Mon Sep 26 15:14:39 2016,3737,-8130,4528,7592,1343,-9982,1649
Mon Sep 26 15:14:39 2016,3746,-8624,3922,7248,1352,-10149,2502
Mon Sep 26 15:14:39 2016,3755,-8890,3486,7372,1362,-10188,3050
Mon Sep 26 15:14:39 2016,3764,-9922,3396,7050,1527,-9964,3796
Mon Sep 26 15:14:39 2016,3774,-9212,2230,8444,1397,-9865,4280
Mon Sep 26 15:14:40 2016,3783,-10502,1622,8430,1486,-9879,4649
Mon Sep 26 15:14:40 2016,3792,-10506,1830,9320,1378,-9946,4711
Mon Sep 26 15:14:40 2016,3801,-10502,1646,9400,1043,-9868,4630
Mon Sep 26 15:14:40 2016,3810,-10504,1226,9198,888,-9731,4485
Mon Sep 26 15:14:40 2016,3843,-10306,1130,9120,829,-9358,4235
Mon Sep 26 15:14:40 2016,3852,-10268,1054,9074,873,-9024,3975
